epoch,lr,train_loss,train_clp,train_cer,train_cot,train_cth,train_oa,train_macro_acc,train_cer_rmse,train_cot_rmse,train_cth_rmse,train_cls0_acc,train_cls1_acc,train_cls2_acc,val_loss,val_clp,val_cer,val_cot,val_cth,val_oa,val_macro_acc,val_cer_rmse,val_cot_rmse,val_cth_rmse,val_cls0_acc,val_cls1_acc,val_cls2_acc
1,0.0001,2.133836452681698,1.0732999763493476,0.41311362423720227,0.2315523322982121,0.4158705177036281,42.636118132951935,40.84783403856162,11.395396072703486,18.46984862053811,5042.648040981152,57.256348180954646,35.99724766580549,29.289906268924813,1.8016364254494424,1.0848683045714256,0.29527766182698917,0.1365482773590952,0.2849421829511054,39.75815646083911,33.44433101041391,7.588295084053298,10.285653589018539,3261.2685544080828,54.689648303482635,25.89365148695224,18.623851759827346
2,0.0001,2.0584042317226587,1.0532562173056783,0.40060490430487483,0.22525300878762367,0.37929010071060787,45.49863239755128,43.669686622979356,11.22869700578683,18.27965522876694,4820.098593421888,59.13555458800964,38.650872995498894,33.22263228542978,1.7912359895624317,1.0827062426150045,0.296983375490195,0.13253219731091656,0.2790141788561343,40.33662137754428,33.642929109275165,7.600989181380301,10.127013562756831,3216.5250637070817,50.84076115900618,29.847129036365526,18.99898462975242
3,0.0001,1.9803190076732187,1.0252084543024167,0.3868966691834321,0.22179802457492848,0.34641585971985006,48.53215978709373,46.69887880594233,11.03267565575792,18.173105806954915,4608.278289410068,60.36274557327489,38.66785259627738,41.06603824827481,1.8161651419524527,1.0843687049422768,0.30802210899665916,0.13567803789447136,0.2880962907756347,42.805134187611046,33.95822262991789,7.754889755721995,10.226623328504076,3283.7649992921433,43.0892255914215,26.021834625531667,31.674751521397514
4,0.0001,1.9100613682799887,0.9992980385826199,0.37353001346383397,0.21892546740977517,0.3183078495795391,50.81828246240868,49.1423473613475,10.832948254927699,18.07025567920186,4424.439801562125,60.88459048551936,39.443076224056966,47.09937537446608,1.7724919860796184,1.0840857759110973,0.2882894264725088,0.13467089144115965,0.26544588812914244,42.6972679882659,34.02168401664866,7.487445809105549,10.195133967802077,3094.4773362988794,49.22370832636384,24.000049042642033,27.560103600316236
5,0.0001,1.848646053246421,0.9762231923768181,0.3615695619207064,0.2168891998246781,0.2939640960730385,52.68112344576284,50.99890395102214,10.647522065221999,17.981969065995475,4248.729742531758,61.54472960022091,39.755641292533745,51.6963409603115,1.7935286438686824,1.1059011227412627,0.2879375578962625,0.13470293349689907,0.26498702238102895,43.15054057834827,34.35748676326941,7.509257813664237,10.189552254738214,3101.8168264932046,51.091688162850154,19.33022974488007,31.294065178520746
6,0.0001,1.7978361512765697,0.9552324197910909,0.3517213429360241,0.21655544222507428,0.2743269463675374,54.289065170418446,52.676759031864655,10.48451865192376,17.99862428938121,4100.035312509259,62.17002226155038,41.02512468849295,54.835130145550565,1.8167029918405517,1.103175788370268,0.2964354650372827,0.13620815503352815,0.28088357695864674,42.97467027252125,34.04977706139441,7.6172375753145305,10.268606750750235,3194.4072676368028,38.55078189474347,34.528196196137976,27.749707966014338
7,0.0001,1.755827227336985,0.9365449433422898,0.3429716535888263,0.2153804828086432,0.2609301477406309,55.5108362879631,54.02349756388153,10.340032039101171,17.938125164819674,3997.581366400639,62.417580991453534,42.379479240892444,57.273432459298895,1.8472501880734888,1.1198148310383444,0.3051881945696,0.13643803157065104,0.28580912440290435,44.103223949486036,34.44683883945243,7.733154011636787,10.259281457146976,3249.079561017227,40.49095913703861,23.524917220900214,37.9718087765028
8,0.0001,1.713670257362593,0.9184922800266349,0.3344462338965585,0.21465057540448568,0.24608116843580358,56.74984206369543,55.20115521678409,10.200030474049248,17.86395555124553,3882.6315438514953,63.30235706544804,42.89925824167156,59.40185034323205,1.8937542340956703,1.1550415596623165,0.31315100576176097,0.1381540855397255,0.28740758631532964,45.06221090661496,34.68164784588043,7.841038107883379,10.296497484315392,3289.3427606774558,46.83865502522881,21.9838560577331,33.98500724388735
9,0.0001,1.6732195493581892,0.9003745407395957,0.32699740085243917,0.21174723932767442,0.23410036869548656,57.91950424615443,56.42761660206689,10.078625221643339,17.771785411822083,3785.7334998137103,63.88546194038043,44.62794061623751,60.76944724958293,1.8953766635843385,1.173103523430622,0.29768936175872557,0.14842232415433945,0.2761614598117104,43.918880226501805,34.61514993837217,7.636656546240258,10.517802819218815,3218.189632883286,40.070280408385464,23.5525612537889,38.8695779186085
10,0.0001,1.636576669481554,0.883967107774617,0.32042390319848724,0.20867218289106826,0.22351347363283738,59.04205718616347,57.530687144388,9.966097862251035,17.63835497370156,3701.397105917834,64.74948982056846,45.71499829193783,62.12757332065777,1.9148106325167273,1.1832529714520226,0.31477847103852,0.13735508081540074,0.2794241089549699,43.0311537215297,34.2716114794869,7.8844411665334775,10.204777038603325,3236.5882042240405,42.8742613870798,29.417736880493678,29.28662269481031
